time, No Name, No Name, No Name, No Name, No Name, No Name
0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0.0106431, 0, 5.31269e-05, 0
0.2, 0, 0, 0.0211803, 0, 0.000211097, 0
0.3, 0, 0, 0.0316127, 0, 0.00047182, 0
0.4, 0, 0, 0.0419413, 0, 0.000833234, 0
0.5, 0, 0, 0.0521671, 0, 0.00129331, 0
0.6, 0, 0, 0.0622911, 0, 0.00185005, 0
0.7, 0, 0, 0.0723145, 0, 0.00250148, 0
0.8, 0, 0, 0.082238, 0, 0.00324567, 0
0.9, 0, 0, 0.0920629, 0, 0.0040807, 0
1, 0, 0, 0.10179, 0, 0.00500469, 0
1.1, 0, 0, 0.11142, 0, 0.00601579, 0
1.2, 0, 0, 0.120955, 0, 0.00711217, 0
1.3, 0, 0, 0.130394, 0, 0.00829205, 0
1.4, 0, 0, 0.13974, 0, 0.00955363, 0
1.5, 0, 0, 0.148993, 0, 0.0108952, 0
1.6, 0, 0, 0.158153, 0, 0.012315, 0
1.7, 0, 0, 0.167223, 0, 0.0138114, 0
1.8, 0, 0, 0.176202, 0, 0.0153827, 0
1.9, 0, 0, 0.185092, 0, 0.0170272, 0
2, 0, 0, 0.193893, 0, 0.0187435, 0
2.1, 0, 0, 0.202607, 0, 0.0205297, 0
2.2, 0, 0, 0.211234, 0, 0.0223845, 0
2.3, 0, 0, 0.219776, 0, 0.0243062, 0
2.4, 0, 0, 0.228232, 0, 0.0262934, 0
2.5, 0, 0, 0.236604, 0, 0.0283445, 0
2.6, 0, 0, 0.244893, 0, 0.0304581, 0
2.7, 0, 0, 0.253099, 0, 0.0326327, 0
2.8, 0, 0, 0.261224, 0, 0.0348669, 0
2.9, 0, 0, 0.269268, 0, 0.0371594, 0
3, 0, 0, 0.277232, 0, 0.0395087, 0
3.1, 0, 0, 0.285117, 0, 0.0419134, 0
3.2, 0, 0, 0.292923, 0, 0.0443723, 0
3.3, 0, 0, 0.300651, 0, 0.046884, 0
3.4, 0, 0, 0.308303, 0, 0.0494472, 0
3.5, 0, 0, 0.315878, 0, 0.0520607, 0
3.6, 0, 0, 0.323378, 0, 0.0547231, 0
3.7, 0, 0, 0.330804, 0, 0.0574334, 0
3.8, 0, 0, 0.338155, 0, 0.0601901, 0
3.9, 0, 0, 0.345434, 0, 0.0629923, 0
4, 0, 0, 0.35264, 0, 0.0658386, 0
4.1, 0, 0, 0.359774, 0, 0.0687279, 0
4.2, 0, 0, 0.366837, 0, 0.0716591, 0
4.3, 0, 0, 0.37383, 0, 0.0746311, 0
4.4, 0, 0, 0.380754, 0, 0.0776428, 0
4.5, 0, 0, 0.387608, 0, 0.080693, 0
4.6, 0, 0, 0.394395, 0, 0.0837807, 0
